"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Pullman","2020","AWY2","2020 AWY2 PUL","Alpha-Lattice","NDRE2","131.694974186982","-16.8474870934911","-0.154355719024483","-0.00699300699300699","0.00381890645406886","0.991451475832355","8.10729101934741"
"Walla_Walla","2020","AWY2","2020 AWY2 WAW","Alpha-Lattice","Control","153.023357855883","-28.5116789279413","-0.210400469660846","-0.00699300699300699","0.0037642946267733","0.999542303952249","10.7331460378781"
"Walla_Walla","2020","AWY2","2020 AWY2 WAW","Alpha-Lattice","Can_Cover","114.342828158827","-8.17141407941365","-0.210400469660846","-0.00699300699300699","0.0037642946267733","0.999542303952249","6.77152880924906"
"Walla_Walla","2020","AWY2","2020 AWY2 WAW","Alpha-Lattice","NDVI","97.7092121100855","0.145393944957235","-0.210400469660846","-0.00699300699300699","0.0037642946267733","0.999542303952249","7.82047803486236"
"Walla_Walla","2020","AWY2","2020 AWY2 WAW","Alpha-Lattice","NDRE2","42.8717037046015","27.5641481476993","-0.210400469660846","-0.00699300699300699","0.0037642946267733","0.999542303952249","4.19888911430506"
"Pullman","2020","Prelim","2020 Hard Prel PUL","Alpha-Lattice","Control","169.481287878315","-12.7406439391574","-0.18615086946238","-0.00465116279069767","0.0024816795016468","0.999865453340277","4.24728996014473"
"Pullman","2020","Prelim","2020 Hard Prel PUL","Alpha-Lattice","Can_Cover","169.207764174535","-11.6038820872677","-0.18615086946238","-0.00465116279069767","0.0024816795016468","0.999865453340277","4.17305322073171"
"Pullman","2020","Prelim","2020 Hard Prel PUL","Alpha-Lattice","NDVI","153.604133951705","-3.80206697585234","-0.18615086946238","-0.00465116279069767","0.0024816795016468","0.999865453340277","3.99289757334332"
"Pullman","2020","Prelim","2020 Hard Prel PUL","Alpha-Lattice","NDRE2","143.456387576012","1.27180621199417","-0.18615086946238","-0.00465116279069767","0.0024816795016468","0.999865453340277","3.8480356715903"
"Walla_Walla","2020","Prelim","2020 Hard Prel WAW","Alpha-Lattice","Control","155.026196810922","-5.51309840546108","-0.0845626584771856","-0.00465116279069767","0.00246953020700208","0.946088915344425","6.38147155476104"
"Walla_Walla","2020","Prelim","2020 Hard Prel WAW","Alpha-Lattice","Can_Cover","135.73043463288","5.13478268355993","-0.0845626584771856","-0.00465116279069767","0.00246953020700208","0.946088915344425","6.1612997179528"
"Walla_Walla","2020","Prelim","2020 Hard Prel WAW","Alpha-Lattice","NDVI","103.777213768978","21.111393115511","-0.0845626584771856","-0.00465116279069767","0.00246953020700208","0.946088915344425","5.67235089098775"
"Walla_Walla","2020","Prelim","2020 Hard Prel WAW","Alpha-Lattice","NDRE2","28.1264367218724","58.9367816390638","-0.0845626584771856","-0.00465116279069767","0.00246953020700208","0.946088915344425","4.1208691672698"
"Lind","2020","Prelim","2020 Lind Hard Prel","Alpha-Lattice","Control","118.336865151508","-5.16843257575396","-0.111232353458514","-0.0062111801242236","0.00335314784402292","0.965133232418068","10.6835801308969"
"Lind","2020","Prelim","2020 Lind Hard Prel","Alpha-Lattice","Can_Cover","37.9579715595409","36.0210142202296","-0.111232353458514","-0.0062111801242236","0.00335314784402292","0.965133232418068","12.0138541423173"
