"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Pullman","2020","F5 SP","2020 Pullman Soft F5 SP","Augmented ","NDVI","173.980273387936","-83.9901366939681","0.0131277043455236","-0.00446428571428571","0.00235548422676748","0.358499545068436","11.0556183702885"
"Pullman","2020","F5 SP","2020 Pullman Soft F5 SP","Augmented ","NDRE2","196.541887618523","-95.2709438092616","0.0892264236865991","-0.00446428571428571","0.00229323415660464","0.0252051362667201","11.1332256769889"
"Lind","2021","F5 SP","2021 Lind Hard F5 SP","Augmented ","Control","144.072098700227","-70.0360493501133","0.150505461651414","-0.0062111801242236","0.00335009405989936","0.00338844814932312","11.3554412443986"
"Lind","2021","F5 SP","2021 Lind Hard F5 SP","Augmented ","Can_Cover","103.452573377916","-48.7262866889581","0.0961843109753365","-0.0062111801242236","0.00334765308346893","0.0383848433237781","10.1239396122523"
"Lind","2021","F5 SP","2021 Lind Hard F5 SP","Augmented ","NDVI","99.998771332514","-46.999385666257","0.115233117901875","-0.0062111801242236","0.00335715497172044","0.0180410621061208","10.1452480314419"
"Lind","2021","F5 SP","2021 Lind Hard F5 SP","Augmented ","NDRE2","122.246790691886","-58.1233953459432","0.164299861869689","-0.0062111801242236","0.00335549844473957","0.00162226572789935","10.8255506165834"
"Lind","2021","DH SP","2021 Lind HRW DH SP#2","Augmented ","Control","71.3961023615391","-33.6980511807696","0.154680836083685","-0.0125","0.00680987593617187","0.0213877823604756","16.0114257314146"
"Lind","2021","DH SP","2021 Lind HRW DH SP#2","Augmented ","Can_Cover","57.5985719748152","-25.7992859874076","0.122464195569228","-0.0125","0.00685045381766169","0.0514828317680519","15.9079052664736"
"Lind","2021","DH SP","2021 Lind HRW DH SP#2","Augmented ","NDVI","35.4093525074016","-14.7046762537008","0.0482501866304359","-0.0125","0.00684827650251825","0.23144299595301","18.2581203449393"
"Lind","2021","DH SP","2021 Lind HRW DH SP#2","Augmented ","NDRE2","53.6540700350459","-23.827035017523","0.10953016284508","-0.0125","0.00686740434484665","0.070435827430863","18.0392670078313"
"Lind","2021","DH SP","2021 Lind SWW DH SP","Augmented ","Control","120.547056439037","-58.2735282195187","0.0914744315885793","-0.00740740740740741","0.00366076104813468","0.05109830677201","18.8154789043804"
"Lind","2021","DH SP","2021 Lind SWW DH SP","Augmented ","Can_Cover","120.968985899899","-57.4844929499493","0.0300556440518254","-0.00740740740740741","0.00365856084987411","0.267837333550164","19.1872843885649"
"Lind","2021","DH SP","2021 Lind SWW DH SP","Augmented ","NDVI","112.669920330328","-53.3349601651642","0.208688172401642","-0.00740740740740741","0.0036988049831395","0.00019031405909911","17.1719105621417"
"Lind","2021","DH SP","2021 Lind SWW DH SP","Augmented ","NDRE2","69.8352862307977","-31.9176431153989","0.150030571381859","-0.00740740740740741","0.00367379656450267","0.00469555059037796","14.4074008932816"
"Lind","2021","DH SP","2021 Lind SWW DH SP#2","Augmented ","Control","96.2391998839027","-46.1195999419513","0.212306544417029","-0.0099009900990099","0.00546317352042589","0.00132212036320792","14.3942034001844"
"Lind","2021","DH SP","2021 Lind SWW DH SP#2","Augmented ","Can_Cover","79.38332373087","-36.691661865435","0.316493800434179","-0.0099009900990099","0.00544412747730424","4.85274494975835e-06","13.0525172816702"
"Lind","2021","DH SP","2021 Lind SWW DH SP#2","Augmented ","NDVI","58.4641915423422","-26.2320957711711","0.256930572083695","-0.0099009900990099","0.00545114145106799","0.000150728753549285","12.135917206635"
"Lind","2021","DH SP","2021 Lind SWW DH SP#2","Augmented ","NDRE2","42.9097641195918","-18.4548820597959","0.152154234795406","-0.0099009900990099","0.00540576033137066","0.0137580584164602","10.8593465676707"
